order_id,product_id,name,quantity,price,total,Rental start,Rental end,condition,age,date_added,status,category,sub_category,product,period
63,542,NOCO Boost Plus GB40 1000 Amp 12V UltraSafe Lithium Jump Starter for up to 6L Gasoline and 3L Diesel Engines,1,6.99,6.99,9/22/2019 0:00,9/29/2019 0:00,,,9/11/2019 10:33,Pending,other,,,7
63,582,"Broil King 958344 Regal S590 Pro Gas Grill, 5-Burner, Stainless Steel",1,91.99,91.99,9/22/2019 0:00,9/29/2019 0:00,,,9/11/2019 10:33,Pending,other,,,7
63,614,Samsung UN82RU8000FXZA Flat 82-Inch 4K 8 Series Ultra HD Smart TV ,1,156.99,156.99,9/22/2019 0:00,9/29/2019 0:00,,,9/11/2019 10:33,Pending,other,,,7
63,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",2,3.99,7.98,9/22/2019 0:00,9/29/2019 0:00,,,9/11/2019 10:33,Pending,other,,,7
63,633,Sun Joe AJ801E 13 in. 12 Amp Electric Scarifier,1,8.99,8.99,9/22/2019 0:00,9/29/2019 0:00,,,9/11/2019 10:33,Pending,other,,,7
63,542,NOCO Boost Plus GB40 1000 Amp 12V UltraSafe Lithium Jump Starter for up to 6L Gasoline and 3L Diesel Engines,1,6.99,6.99,9/11/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,9
63,582,"Broil King 958344 Regal S590 Pro Gas Grill, 5-Burner, Stainless Steel",1,91.99,91.99,9/11/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,9
63,614,Samsung UN82RU8000FXZA Flat 82-Inch 4K 8 Series Ultra HD Smart TV ,1,156.99,156.99,9/11/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,9
63,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",2,3.99,7.98,9/11/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,9
63,633,Sun Joe AJ801E 13 in. 12 Amp Electric Scarifier,1,8.99,8.99,9/11/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,9
63,542,NOCO Boost Plus GB40 1000 Amp 12V UltraSafe Lithium Jump Starter for up to 6L Gasoline and 3L Diesel Engines,1,6.99,6.99,9/17/2019 0:00,9/27/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,582,"Broil King 958344 Regal S590 Pro Gas Grill, 5-Burner, Stainless Steel",1,91.99,91.99,9/17/2019 0:00,9/27/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,614,Samsung UN82RU8000FXZA Flat 82-Inch 4K 8 Series Ultra HD Smart TV ,1,156.99,156.99,9/17/2019 0:00,9/27/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",2,3.99,7.98,9/17/2019 0:00,9/27/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,633,Sun Joe AJ801E 13 in. 12 Amp Electric Scarifier,1,8.99,8.99,9/17/2019 0:00,9/27/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,542,NOCO Boost Plus GB40 1000 Amp 12V UltraSafe Lithium Jump Starter for up to 6L Gasoline and 3L Diesel Engines,1,6.99,6.99,9/12/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,8
63,582,"Broil King 958344 Regal S590 Pro Gas Grill, 5-Burner, Stainless Steel",1,91.99,91.99,9/12/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,8
63,614,Samsung UN82RU8000FXZA Flat 82-Inch 4K 8 Series Ultra HD Smart TV ,1,156.99,156.99,9/12/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,8
63,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",2,3.99,7.98,9/12/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,8
63,633,Sun Joe AJ801E 13 in. 12 Amp Electric Scarifier,1,8.99,8.99,9/12/2019 0:00,9/20/2019 0:00,,,9/11/2019 10:33,Pending,other,,,8
63,542,NOCO Boost Plus GB40 1000 Amp 12V UltraSafe Lithium Jump Starter for up to 6L Gasoline and 3L Diesel Engines,1,6.99,6.99,9/18/2019 0:00,9/28/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,582,"Broil King 958344 Regal S590 Pro Gas Grill, 5-Burner, Stainless Steel",1,91.99,91.99,9/18/2019 0:00,9/28/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,614,Samsung UN82RU8000FXZA Flat 82-Inch 4K 8 Series Ultra HD Smart TV ,1,156.99,156.99,9/18/2019 0:00,9/28/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",2,3.99,7.98,9/18/2019 0:00,9/28/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
63,633,Sun Joe AJ801E 13 in. 12 Amp Electric Scarifier,1,8.99,8.99,9/18/2019 0:00,9/28/2019 0:00,,,9/11/2019 10:33,Pending,other,,,10
64,564,"TETON Sports Scout 3400 Internal Frame Backpack; High-Performance Backpack for Backpacking, Hiking, Camping",4,5.99,23.96,9/11/2019 0:00,9/21/2019 0:00,,,9/11/2019 10:53,Pending,other,,,10
66,679,"TETON Sports Scout 3400 Internal Frame Backpack; High-Performance Backpack for Backpacking, Hiking, Camping",1,10,10,9/12/2019 0:00,9/13/2019 0:00,,,9/12/2019 4:14,Pending,other,,,1
